,Title_job,Job_link,Company_link,Address,Salary,date
232,Senior Product Designer - SaaS Ecommerce,/it-jobs/senior-product-designer-seal-commerce-0721,/companies/seal-commerce,Ho Chi Minh,1300 - 2600 ,8/12/2021
233,Remote Senior Fullstack ,/it-jobs/remote-sr-fullstack-javascript-ruby-employment-hero-3010,/companies/employment-hero,Ha Noi,3000 - 4000 ,8/12/2021
235,Software Engineer ,/it-jobs/software-engineer-java-go-english-coc-coc-0122,/companies/coc-coc,Ho Chi Minh,1200 - 2500 ,8/12/2021
241,02 UI-UX designer ,/it-jobs/mobile-app-ui-ux-designer-tower-hanoi-4254,/companies/tower-hanoi,Ho Chi Minh,500 - 800 ,8/12/2021
243,Fresher / Junior Dev ,/it-jobs/fresher-jr-net-developer-asp-net-c-grapecity-0420,/companies/grapecity,Ho Chi Minh,700 - 1500 ,8/12/2021
247,System Administrator ,/it-jobs/system-administrator-window-linux-alpha-networks-solution-3141,/companies/alpha-networks-solution,Others,1200 - 3000 ,8/12/2021
251,Senior ReactJS Developer,/it-jobs/senior-reactjs-developer-dirox-0250,/companies/dirox,Ho Chi Minh,2000,8/12/2021
254,03 Business Analyst,/it-jobs/03-business-analyst-urbox-5531,/companies/urbox,Ha Noi,1500,8/12/2021
256,Backend Dev ,/it-jobs/backend-dev-php-laravel-javascript-g-g-blockchain-camp-2934,/companies/g-g-blockchain-camp,Ho Chi Minh,1000 - 2000 ,8/12/2021
257,iOS Developer ,/it-jobs/ios-developer-objective-c-swift-g-g-blockchain-camp-3057,/companies/g-g-blockchain-camp,Ho Chi Minh,1000 - 2000 ,8/12/2021
259,Frontend ,/it-jobs/frontend-javascript-vuejs-typescript-outsourceit-international-vietnam-4833,/companies/outsourceit-international-vietnam,Ha Noi,1600 - 2500 ,8/12/2021
261,PHP Developer ,/it-jobs/php-developer-laravel-mysql-cubicstack-solutions-3642,/companies/cubicstack-solutions,Ha Noi,1500,8/12/2021
262,QA QC Engineer ,/it-jobs/qa-qc-engineer-tester-cubicstack-solutions-3256,/companies/cubicstack-solutions,Ho Chi Minh,1800,8/12/2021
263,Quality Control ,/it-jobs/quality-control-all-levels-success-software-services-1221,/companies/success-software-services,Ho Chi Minh,500 - 3000 ,8/12/2021
264,Web Developer ,/it-jobs/web-developer-php-javascript-1000-dac-tech-viet-nam-5746,/companies/dac-tech-viet-nam,Ho Chi Minh,700 - 1000 ,8/12/2021
268,03 .NET Devs ,/it-jobs/05-net-devs-c-asp-net-up-to-2000-r1-concepts-3238,/companies/r1-concepts,Ho Chi Minh,800 - 2000 ,8/12/2021
273,Mobile App ,/it-jobs/mobile-app-flutter-ios-android-oop-vietcredit-5712,/companies/vietcredit,Ho Chi Minh,2000,8/12/2021
276,React Native Developer ~ 1200$,/it-jobs/react-native-developer-1200-humax-vietnam-4132,/companies/humax-vietnam,Ha Noi,700 - 1200 ,8/12/2021
277,IT Security Manager,/it-jobs/it-security-manager-finos-technology-0154,/companies/finos-technology,Ho Chi Minh,2500 - 4500 ,8/12/2021
278,.NET Developer ,/it-jobs/net-developer-english-cj-olivenetworks-vina-co-ltd-2101,/companies/cj-olivenetworks-vina-co-ltd,Ho Chi Minh,1000 - 3000 ,8/12/2021
